game_id,competition_id,season,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position
4060795,CL,2022,5,46,0,2,,
4064735,FAC,2022,281,985,2,1,,
4066658,UKR1,2022,10690,49364,2,0,3,14
4087959,GB1,2023,873,543,3,2,7,14
4087963,GB1,2023,350,29,2,2,18,20
4089521,DK1,2023,1894,678,0,2,11,3
4089554,DK1,2023,443,5724,1,2,11,10
4090199,DK1,2023,1894,1177,1,2,12,2
4090221,DK1,2023,369,173,2,2,7,10
4090227,DK1,2023,190,206,0,0,1,2
4090236,DK1,2023,5724,173,0,1,10,9
4090237,DK1,2023,206,1894,4,0,2,12
4090243,DK1,2023,206,865,1,0,1,3
4090254,DK1,2023,443,1177,2,0,11,6
4092064,RU1,2023,11127,49702,0,0,7,13
4094727,FR1,2023,3524,273,1,3,18,10
